Time,apu-gen-pwr-switch,inverter-stby-switch,power-system-switch,generator-trip-switch,inverter-load-switch,fire-warning-sw,AOA-heating-switch,r-ac-gen-switch,l-ac-gen-switch,hydraulic_system_power_switch,Landing_gear_control_power_switch,Aileron_trim_tabs_power_switch,Engine_instument_power_switch,DEEC_power_switch,Radio_set_power_switch,Radio_compass_power_switch,Radio_altimeter_power_switch,ILS_power_switch,Intercom_power_switch,HUD_power_switch,MFD_power_switch,ADC_attitude_system_power_switch,Video_recoding_system_power_switch,ATC_transponder_power_switch,Fuel_system_power_switch,Integrated_warning_power_switch,Standby_attitude_horizon_power_switch,Bombing_system_power_switch,Emergency_jettisoning_system_power_switch,Rocket_firing_system_power_switch,Aircraft_gun_power_switch,Missile_launching_system_power_switch,fuel-shut-off-sw,Canopy switch,Warning Light
1,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
2.24167,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
3.01667,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
4.01667,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
5.025,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
6.025,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
7.01667,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
8.01667,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
9,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
10.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
11.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
12,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
13,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,1,false
14,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
15.0167,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
16.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
17.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
18.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
19,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
20.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
21.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,1,1,false
22.0167,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
23.0167,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
24.0083,false,1,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
25.0083,false,1,false,false,false,true,true,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
26.0083,false,1,false,false,false,true,true,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
27.0167,false,1,true,false,false,true,true,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
28.0167,true,1,true,false,false,true,true,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
29.0083,true,2,true,false,false,true,true,false,0,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
30.0083,true,2,true,false,false,true,true,false,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
31.0167,true,2,true,false,false,true,true,false,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
32.0167,true,2,true,false,false,true,true,true,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
33.0167,true,2,true,false,false,true,true,true,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
34.0083,true,2,true,false,false,true,true,true,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
35.0083,true,2,true,false,false,true,true,true,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0,1,false
